id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
116		2403064	SAMN00115226	SAMN02403064	PRJNA47685	Yersinia pestis CMCC96007	CMCC96007	Beijing Genomics Institute	1989	Inner Mongolia, China	42.25	116.02		Meles meles	Antiqua	Generic sample from Yersinia pestis CMCC96007	2013/11/15	2014/03/07
117		2403085	SAMN00115227	SAMN02403085	PRJNA47685	Yersinia pestis I1970005	I1970005	Beijing Genomics Institute	1970	Inner Mongolia, China	39.12	107.97		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis I1970005	2013/11/15	2014/03/07
118		2403065	SAMN00115228	SAMN02403065	PRJNA47685	Yersinia pestis CMCC99103	CMCC99103	Beijing Genomics Institute	1970	Inner Mongolia, China	39.12	107.97		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis CMCC99103	2013/11/15	2014/03/07
119		2403066	SAMN00115229	SAMN02403066	PRJNA47685	Yersinia pestis CMCCK100001	CMCCK100001	Beijing Genomics Institute	1991	Yunnan, China	24.08	98.08		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis CMCCK100001	2013/11/15	2014/03/07
120		2403067	SAMN00115230	SAMN02403067	PRJNA47685	Yersinia pestis CMCCK110001	CMCCK110001	Beijing Genomics Institute	1991	Yunnan, China	23.92	99.02		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis CMCCK110001	2013/11/15	2014/03/07
121		2403068	SAMN00115231	SAMN02403068	PRJNA47685	Yersinia pestis CMCCN010025	CMCCN010025	Beijing Genomics Institute	2000	Sichuan, China	33.01	98.06		Microtus fuscus	Microtus	Generic sample from Yersinia pestis CMCCN010025	2013/11/15	2014/03/07
122	POSSIBLE SECONDARY ACCESSION IN ASSEMBLY	115232	SAMN00115232		PRJNA47685	Yersinia pestis	CMCCo10807	BGI	2001	Qinghai, China				Microtus fuscus		Yersinia pestis strain	2012/01/01	2013/06/12
123		2403074	SAMN00115233	SAMN02403074	PRJNA47685	Yersinia pestis EV76-CN	EV76-CN	Beijing Genomics Institute	>1922	China: Lanzhou	NA	NA		Human	Orientalis	Generic sample from Yersinia pestis EV76-CN	2013/11/15	2015/02/20
124		2403080	SAMN00115234	SAMN02403080	PRJNA47685	Yersinia pestis G8786	G8786	Beijing Genomics Institute	1992	Ninotsminda, Georgia	NA	NA		Common vole	Microtus	Generic sample from Yersinia pestis G8786	2013/11/15	2014/03/07
125		2403083	SAMN00115235	SAMN02403083	PRJNA47685	Yersinia pestis I160001	I160001	Beijing Genomics Institute	1987	Xinjiang, China	38.09	85.32		Marmota himalayana	Mediaevalis	Generic sample from Yersinia pestis I160001	2013/11/15	2014/03/07
126		2403094	SAMN00115236	SAMN02403094	PRJNA47685	Yersinia pestis MGJZ11	MGJZ11	Beijing Genomics Institute	2000	Bayan-Olgii, Mongolia	48.18	89.5		Marmota sibirica	Antiqua	Generic sample from Yersinia pestis MGJZ11	2013/11/15	2014/03/07
127		2403095	SAMN00115237	SAMN02403095	PRJNA47685	Yersinia pestis MGJZ12	MGJZ12	Beijing Genomics Institute	2002	Bayan-Olgii, Mongolia	48.18	89.5		Marmota sibirica	Antiqua	Generic sample from Yersinia pestis MGJZ12	2013/11/15	2014/03/07
128		2403096	SAMN00115238	SAMN02403096	PRJNA47685	Yersinia pestis MGJZ3	MGJZ3	Beijing Genomics Institute	1980	Govi-Altai, Mongolia	45.3	95.3		Marmota sibirica	Antiqua	Generic sample from Yersinia pestis MGJZ3	2013/11/15	2014/03/07
129		2403097	SAMN00115239	SAMN02403097	PRJNA47685	Yersinia pestis MGJZ6	MGJZ6	Beijing Genomics Institute	1997	Dornogovi, Mongolia	43.7	110.28		Meriones meridianus	Antiqua	Generic sample from Yersinia pestis MGJZ6	2013/11/15	2014/03/07
130		2403098	SAMN00115240	SAMN02403098	PRJNA47685	Yersinia pestis MGJZ7	MGJZ7	Beijing Genomics Institute	1997	Dornogovi, Mongolia	43.7	110.28		Meriones meridianus	Antiqua	Generic sample from Yersinia pestis MGJZ7	2013/11/15	2014/03/07
131		2403099	SAMN00115241	SAMN02403099	PRJNA47685	Yersinia pestis MGJZ9	MGJZ9	Beijing Genomics Institute	1998	Govi-Altai, Mongolia	45.3	95.3		Orip silantiwii	Antiqua	Generic sample from Yersinia pestis MGJZ9	2013/11/15	2014/03/07
132		2403100	SAMN00115242	SAMN02403100	PRJNA47685	Yersinia pestis SHAN11	SHAN11	Beijing Genomics Institute	2006	Shaanxi, China	37.6	107.59		Nosopsyllu laeviceps kuzenkovi	Mediaevalis	Generic sample from Yersinia pestis SHAN11	2013/11/15	2014/03/07
133		2403101	SAMN00115243	SAMN02403101	PRJNA47685	Yersinia pestis SHAN12	SHAN12	Beijing Genomics Institute	2006	Shaanxi, China	37.6	107.59		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis SHAN12	2013/11/15	2014/03/07
134		2403102	SAMN00115244	SAMN02403102	PRJNA47685	Yersinia pestis YN1065	YN1065	Beijing Genomics Institute	1954	Yunnan, China	26.53	99.88		Stenischia humilis	Orientalis	Generic sample from Yersinia pestis YN1065	2013/11/15	2014/03/07
135		2403103	SAMN00115245	SAMN02403103	PRJNA47685	Yersinia pestis YN1683	YN1683	Beijing Genomics Institute	1977	Yunnan, China	26.53	99.88		Apodemus speciosus	Orientalis	Generic sample from Yersinia pestis YN1683	2013/11/15	2014/03/07
136		2403104	SAMN00115246	SAMN02403104	PRJNA47685	Yersinia pestis YN2179	YN2179	Beijing Genomics Institute	1995	Myanmar	NA	NA		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis YN2179	2013/11/15	2014/03/07
137		2403105	SAMN00115247	SAMN02403105	PRJNA47685	Yersinia pestis YN2551	YN2551	Beijing Genomics Institute	2002	Yunnan, China	23.35	102.42		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis YN2551	2013/11/15	2014/03/07
138		2403106	SAMN00115248	SAMN02403106	PRJNA47685	Yersinia pestis YN2588	YN2588	Beijing Genomics Institute	2000	Guangxi, China	24.8	105.34		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis YN2588	2013/11/15	2014/03/07
139		2403107	SAMN00115249	SAMN02403107	PRJNA47685	Yersinia pestis YN472	YN472	Beijing Genomics Institute	1957	Yunnan, China	26.53	99.88		Neopsyllini specialis	Orientalis	Generic sample from Yersinia pestis YN472	2013/11/15	2014/03/07
140		2403108	SAMN00115250	SAMN02403108	PRJNA47685	Yersinia pestis YN663	YN663	Beijing Genomics Institute	1982	Yunnan, China	24.33	97.96		Xenopsylla cneopis roths .	Orientalis	Generic sample from Yersinia pestis YN663	2013/11/15	2014/03/07
141		2403021	SAMN00115251	SAMN02403021	PRJNA47685	Yersinia pestis biovar Antiqua str. E1979001	E1979001	Beijing Genomics Institute	1979	Yunnan, China	26.53	99.88		Eothenomys miletus	Antiqua	Generic sample from Yersinia pestis biovar Antiqua str. E1979001	2013/11/15	2014/03/07
142		2404405	SAMN00222601	SAMN02404405	PRJNA41469	Yersinia pestis KIM D27	KIM D27	J. Craig Venter Institute	1968	Kurdistan						Generic sample from Yersinia pestis KIM D27	2013/11/15	2015/02/12
143		2141450	SAMN00704075	SAMN02141450	PRJNA64285	Yersinia pestis PY-03	PY-03	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-03	2013/05/10	2014/02/25
144		2141451	SAMN00704077	SAMN02141451	PRJNA64287	Yersinia pestis PY-04	PY-04	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Chota, San Juan de Licupis, Pay Pay			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-04	2013/05/10	2014/02/25
145		2141452	SAMN00704239	SAMN02141452	PRJNA64289	Yersinia pestis PY-05	PY-05	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Chota, San Juan de Licupis, Pay Pay			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-05	2013/05/10	2014/02/25
146		2141453	SAMN00704240	SAMN02141453	PRJNA64291	Yersinia pestis PY-06	PY-06	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Chota, San Juan de Licupis, Pay Pay			missing	guinea pig		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-06	2013/05/10	2014/02/25
147		2141454	SAMN00704241	SAMN02141454	PRJNA64293	Yersinia pestis PY-07	PY-07	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Chota, San Juan de Licupis, Pay Pay			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-07	2013/05/10	2014/02/25
148		2141455	SAMN00704242	SAMN02141455	PRJNA64295	Yersinia pestis PY-08	PY-08	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Jean			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-08	2013/05/10	2015/02/10
149		2141456	SAMN00704243	SAMN02141456	PRJNA64297	Yersinia pestis PY-09	PY-09	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Jean			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-09	2013/05/10	2015/02/10
150		2141457	SAMN00704244	SAMN02141457	PRJNA64299	Yersinia pestis PY-10	PY-10	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Jean			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-10	2013/05/10	2015/02/10
151		2141458	SAMN00704246	SAMN02141458	PRJNA64301	Yersinia pestis PY-11	PY-11	University of Maryland School of Medicine, Institute for Genome Sciences	2007	Peru:Chota			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-11	2013/05/10	2015/02/10
152		2141459	SAMN00704247	SAMN02141459	PRJNA64303	Yersinia pestis PY-12	PY-12	University of Maryland School of Medicine, Institute for Genome Sciences	2008	Peru:Jean			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-12	2013/05/10	2015/02/10
153		2141460	SAMN00704248	SAMN02141460	PRJNA64305	Yersinia pestis PY-13	PY-13	University of Maryland School of Medicine, Institute for Genome Sciences	2008	Peru:Santa Cruz			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-13	2013/05/10	2015/02/10
154		2141461	SAMN00704249	SAMN02141461	PRJNA64307	Yersinia pestis PY-14	PY-14	University of Maryland School of Medicine, Institute for Genome Sciences	2009	Peru:Ascope, Casa Grande, Toma Jauregui			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-14	2013/05/10	2014/02/25
155		2141462	SAMN00704250	SAMN02141462	PRJNA64309	Yersinia pestis PY-15	PY-15	University of Maryland School of Medicine, Institute for Genome Sciences	2009	Peru:Ascope, Casa Grande, Toma Jauregui			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-15	2013/05/10	2015/02/10
156		2141463	SAMN00704251	SAMN02141463	PRJNA64311	Yersinia pestis PY-16	PY-16	University of Maryland School of Medicine, Institute for Genome Sciences	2009	Peru:Ascope, Casa Grande, Toma Jauregui			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-16	2013/05/10	2015/02/10
157		2141464	SAMN00704252	SAMN02141464	PRJNA64313	Yersinia pestis PY-19	PY-19	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Casa Grande, Toma Jauregui			missing	rodent		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-19	2013/05/10	2014/02/25
158		2141502	SAMN00704253	SAMN02141502	PRJNA64389	Yersinia pestis PY-100	PY-100	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-100	2013/05/10	2014/02/25
159		2141503	SAMN00704254	SAMN02141503	PRJNA64391	Yersinia pestis PY-101	PY-101	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Santiago de Cao, Cartavio			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-101	2013/05/10	2015/02/10
160		2141505	SAMN00704255	SAMN02141505	PRJNA64395	Yersinia pestis PY-103	PY-103	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	southern opossum		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-103	2013/05/10	2014/02/25
161		2141504	SAMN00704256	SAMN02141504	PRJNA64393	Yersinia pestis PY-102	PY-102	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sausal			missing	southern opossum		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-102	2013/05/10	2014/02/25
162		2141506	SAMN00704257	SAMN02141506	PRJNA64397	Yersinia pestis PY-113	PY-113	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-113	2013/05/10	2015/02/10
163		2141465	SAMN00704265	SAMN02141465	PRJNA64315	Yersinia pestis PY-25	PY-25	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-25	2013/05/10	2014/02/25
164		2141466	SAMN00704266	SAMN02141466	PRJNA64317	Yersinia pestis PY-29	PY-29	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-29	2013/05/10	2014/02/25
165		2141468	SAMN00704267	SAMN02141468	PRJNA64321	Yersinia pestis PY-34	PY-34	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	domestic cat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-34	2013/05/10	2014/02/25
166		2141469	SAMN00704268	SAMN02141469	PRJNA64323	Yersinia pestis PY-36	PY-36	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Casa Grande, Mocan			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-36	2013/05/10	2014/02/25
167		2141467	SAMN00704269	SAMN02141467	PRJNA64319	Yersinia pestis PY-32	PY-32	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Chicama			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-32	2013/05/10	2015/02/10
168		2141470	SAMN00704270	SAMN02141470	PRJNA64325	Yersinia pestis PY-42	PY-42	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-42	2013/05/10	2014/02/25
169		2141477	SAMN00704271	SAMN02141477	PRJNA64339	Yersinia pestis PY-54	PY-54	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sector Peaje			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-54	2013/05/10	2014/02/25
170		2141471	SAMN00704272	SAMN02141471	PRJNA64327	Yersinia pestis PY-45	PY-45	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-45	2013/05/10	2014/02/25
171		2141473	SAMN00704273	SAMN02141473	PRJNA64331	Yersinia pestis PY-47	PY-47	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Casa Grande, Mocan			missing	domestic cat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-47	2013/05/10	2014/02/25
172		2141476	SAMN00704274	SAMN02141476	PRJNA64337	Yersinia pestis PY-53	PY-53	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sector Peaje			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-53	2013/05/10	2014/02/25
173		2141478	SAMN00704275	SAMN02141478	PRJNA64341	Yersinia pestis PY-55	PY-55	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sector Peaje			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-55	2013/05/10	2014/02/25
174		2141475	SAMN00704276	SAMN02141475	PRJNA64335	Yersinia pestis PY-52	PY-52	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sector Peaje			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-52	2013/05/10	2014/02/25
175		2141472	SAMN00704277	SAMN02141472	PRJNA64329	Yersinia pestis PY-46	PY-46	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, San Antonio			missing	domestic cat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-46	2013/05/10	2014/02/25
176		2141474	SAMN00704278	SAMN02141474	PRJNA64333	Yersinia pestis PY-48	PY-48	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-48	2013/05/10	2014/02/25
177		2141480	SAMN00704279	SAMN02141480	PRJNA64345	Yersinia pestis PY-58	PY-58	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-58	2013/05/10	2014/02/25
178		2141481	SAMN00704280	SAMN02141481	PRJNA64347	Yersinia pestis PY-59	PY-59	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-59	2013/05/10	2014/02/25
179		2141483	SAMN00704281	SAMN02141483	PRJNA64351	Yersinia pestis PY-61	PY-61	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, El Milagro, Sector 9			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-61	2013/05/10	2014/02/25
180		2141484	SAMN00704282	SAMN02141484	PRJNA64353	Yersinia pestis PY-63	PY-63	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, Salaverry, ENAPU			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-63	2013/05/10	2014/02/25
181		2141485	SAMN00704283	SAMN02141485	PRJNA64355	Yersinia pestis PY-64	PY-64	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, Salaverry, ENAPU			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-64	2013/05/10	2014/02/25
182		2141487	SAMN00704284	SAMN02141487	PRJNA64359	Yersinia pestis PY-66	PY-66	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, Salaverry, ENAPU			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-66	2013/05/10	2014/02/25
183		2141479	SAMN00704285	SAMN02141479	PRJNA64343	Yersinia pestis PY-56	PY-56	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-56	2013/05/10	2014/02/25
184		2141482	SAMN00704286	SAMN02141482	PRJNA64349	Yersinia pestis PY-60	PY-60	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, El Milagro, Sector 9			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-60	2013/05/10	2014/02/25
185		2141486	SAMN00704287	SAMN02141486	PRJNA64357	Yersinia pestis PY-65	PY-65	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Trujillo, Salaverry, ENAPU			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-65	2013/05/10	2014/02/25
186		2141488	SAMN00704288	SAMN02141488	PRJNA64361	Yersinia pestis PY-71	PY-71	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-71	2013/05/10	2014/02/25
187		2141489	SAMN00704289	SAMN02141489	PRJNA64363	Yersinia pestis PY-72	PY-72	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-72	2013/05/10	2014/02/25
188		2141490	SAMN00704290	SAMN02141490	PRJNA64365	Yersinia pestis PY-76	PY-76	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	cotton rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-76	2013/05/10	2014/02/25
189		2141491	SAMN00704291	SAMN02141491	PRJNA64367	Yersinia pestis PY-88	PY-88	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-88	2013/05/10	2014/02/25
190		2141492	SAMN00704292	SAMN02141492	PRJNA64369	Yersinia pestis PY-89	PY-89	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-89	2013/05/10	2014/02/25
191		2141493	SAMN00704293	SAMN02141493	PRJNA64371	Yersinia pestis PY-90	PY-90	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Pacasmayo, Guadalupe, Mariscal Castilla			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-90	2013/05/10	2014/02/25
192		2141494	SAMN00704294	SAMN02141494	PRJNA64373	Yersinia pestis PY-91	PY-91	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Chota			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-91	2013/05/10	2014/02/25
193		2141495	SAMN00704295	SAMN02141495	PRJNA64375	Yersinia pestis PY-92	PY-92	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Chota			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-92	2013/05/10	2014/02/25
194		2141496	SAMN00706751	SAMN02141496	PRJNA64377	Yersinia pestis PY-93	PY-93	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Chota			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-93	2013/05/10	2014/02/25
195		2141497	SAMN00706752	SAMN02141497	PRJNA64379	Yersinia pestis PY-94	PY-94	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Chota			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-94	2013/05/10	2014/02/25
196		2141498	SAMN00706753	SAMN02141498	PRJNA64381	Yersinia pestis PY-95	PY-95	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Chota			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-95	2013/05/10	2014/02/25
197		2141499	SAMN00706754	SAMN02141499	PRJNA64383	Yersinia pestis PY-96	PY-96	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, Sausal			missing	dog		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-96	2013/05/10	2014/02/25
198		2141500	SAMN00706755	SAMN02141500	PRJNA64385	Yersinia pestis PY-98	PY-98	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope			missing	Homo sapiens		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-98	2013/05/10	2015/02/10
199		2141501	SAMN00706783	SAMN02141501	PRJNA64387	Yersinia pestis PY-99	PY-99	University of Maryland School of Medicine, Institute for Genome Sciences	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.			missing	Norway rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-99	2013/05/10	2014/02/25
200		2141449	SAMN00710637	SAMN02141449	PRJNA64283	Yersinia pestis PY-02	PY-02	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana			missing	black rat		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-02	2013/05/10	2014/02/25
201		2141448	SAMN00739929	SAMN02141448	PRJNA64281	Yersinia pestis PY-01	PY-01	University of Maryland School of Medicine, Institute for Genome Sciences	2006	Peru:Chota, San Juan de Licupis, Los Porongos			missing	house mouse		MIGS Cultured Bacterial/Archaeal sample from Yersinia pestis PY-01	2013/05/10	2014/02/25
202		2404405	SAMN01818177	SAMN02404405	PRJNA41469	Yersinia pestis KIM D27	KIM D27	J. Craig Venter Institute	1968	Kurdistan						Generic sample from Yersinia pestis KIM D27	2013/11/15	2015/02/12
203		1831179	SAMN01831179		PRJNA73101	Yersinia pestis biovar Orientalis str. AS200901156	AS200901156	US Army Edgewood Chemical Biological Center	2009	Santa Fe, NM, USA				Human		Yersinia pestis biovar Orientalis str. AS200901156	2013/01/02	2014/04/08
204		1831180	SAMN01831180		PRJNA73111	Yersinia pestis biovar Orientalis str. AS200901434	AS200901434	US Army Edgewood Chemical Biological Center	2009	Santa Fe, NM, USA				Sylvilagus audobonii		Yersinia pestis biovar Orientalis str. AS200901434	2013/01/02	2014/04/08
205		1831181	SAMN01831181		PRJNA73113	Yersinia pestis biovar Orientalis str. AS200901509	AS200901509	US Army Edgewood Chemical Biological Center	2009	Santa Fe, NM, USA				Cynomys gunnisoni		Yersinia pestis biovar Orientalis str. AS200901509	2013/01/02	2014/04/08
206		1831182	SAMN01831182		PRJNA73099	Yersinia pestis biovar Orientalis str. AS200901539	AS200901539	US Army Edgewood Chemical Biological Center	2009	Las Vegas, NM, USA				Cynomys gunnisoni		Yersinia pestis biovar Orientalis str. AS200901539	2013/01/02	2014/04/08
207		1831183	SAMN01831183		PRJNA73103	Yersinia pestis biovar Orientalis str. BA200901703	BA200901703	US Army Edgewood Chemical Biological Center	2009	Santa Fe, NM, USA				Human		Yersinia pestis biovar Orientalis str. BA200901703	2013/01/02	2014/04/08
208		1831184	SAMN01831184		PRJNA72923	Yersinia pestis biovar Orientalis str. BA200901799	BA200901799	US Army Edgewood Chemical Biological Center	2009	Sante Fe, NM, USA				Human		Yersinia pestis biovar Orientalis str. BA200901799	2013/01/02	2014/04/08
209		1831185	SAMN01831185		PRJNA73105	Yersinia pestis biovar Orientalis str. BA200901990	BA200901990	US Army Edgewood Chemical Biological Center	2009	Edgewood, NM, USA				Human		Yersinia pestis biovar Orientalis str. BA200901990	2013/01/02	2014/04/08
210		1831186	SAMN01831186		PRJNA73107	Yersinia pestis biovar Orientalis str. BA200902009	BA200902009	US Army Edgewood Chemical Biological Center	2009	Santa Fe, NM, USA				Human		Yersinia pestis biovar Orientalis str. BA200902009	2013/01/02	2014/04/08
