id	BioProject_id	BioProjectAccession	DataType	Description	MethodType	Name	TargetCapture	TargetMaterial	TargetScope	Title	Type	OrganismLabel	OrganismStrain	Supergroup	TaxonomicID	RegistrationDate	RelevanceMedical	SequencingStatus	SubmitterOrganization
77	257008	PRJNA257008	Genome sequencing and assembly	The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health	Sequencing	None	Whole	Genome	Multispecies	Consortium for Microbial Forensics and Genomics (µFORGE): Capturing Global Biodiversity of Pathogens	Primary submission	None	None	None	0	2014/07/29 00:00	yes	Complete	µFORGE
78	254747	PRJNA254747	Genome sequencing	Irradiated samples were sequenced to determine if irradiated material could be utilized to generate accurate whole-genome sequence data by both Illumina and 454 methodologies.	Sequencing	Yersinia pestis EV76-CN	Whole	Genome	Multiisolate	Yersinia pestis EV76-CN Genome sequencing	Primary submission	None	EV76	Bacteria	665028	2014/07/08 00:00	None	SRA/Trace	US Army Edgewood Chemical Biological Center
79	251923	PRJEB6403	Other	http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/	Sequencing	NCTC_3000	Whole	Other	Monoisolate	NCTC_3000	Primary submission	None	None	None	0	2014/06/06 00:00	None	Complete	SC
80	247716	PRJNA247716	Genome sequencing and assembly	Whole-genome shotgun sequence of strain Yersinia pestis 231(708).	Sequencing	Yersinia pestis subsp. pestis strain:231(708)	Whole	Genome	Monoisolate	Yersinia pestis subsp. pestis strain:231(708) Genome sequencing	Primary submission	None	231(708)	Bacteria	385964	2014/07/28 00:00	yes	Contigs	Russian Research Antiplague Institute "Microbe"
81	243531	PRJNA243531	Genome sequencing and assembly	Yersinia pestis Colorado 92 Genome Assemlby	Sequencing	Yersinia pestis strain:Colorado 92	Whole	Genome	Monoisolate	Yersinia pestis strain:Colorado 92 Genome sequencing	Primary submission	None	Colorado 92	Bacteria	632	2014/09/15 00:00	yes	Scaffolds	Los Alamos National Laboratory
82	241466	PRJNA241466	Genome sequencing	we employed Yersinia pestis genomes from a plague outbreak at Xinghai county of China in 2009 as an example, to develop a simple two-step strategy for rapid source tracing of the outbreak. The first step was to define the phylogenetic position of the outbreak strains in a whole species tree, and the next step was to provide a detailed relationship across the outbreak strains and their suspected relatives	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing	Primary submission	None	None	Bacteria	632	2014/03/17 00:00	None	SRA/Trace	BGI
83	240677	PRJNA240677	Phenotype or Genotype	Sequence reads of transposon/genome junctions to estimate frequency of mutants in a dense insertion library	Sequencing	Yersinia pestis strain:KIM1001	Other	Genome	Multiisolate	Yersinia pestis KIM1001 Tn-seq	Primary submission	None	KIM1001	Bacteria	632	2014/03/10 00:00	yes	SRA/Trace	University of Massachusetts Medical School
84	240108	PRJNA240108	Genome sequencing	Genome sequencing of Yersinia pestis Nicholisk 41	Sequencing	Yersinia pestis strain:Nicholisk 41	Whole	Genome	Monoisolate	Yersinia pestis strain:Nicholisk 41 Genome sequencing	Primary submission	None	Nicholisk 41	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
85	240107	PRJNA240107	Genome sequencing	Genome sequencing of Yersinia pestis Java9	Sequencing	Yersinia pestis strain:Java9	Whole	Genome	Monoisolate	Yersinia pestis strain:Java9 Genome sequencing	Primary submission	None	Java9	Bacteria	632	2015/02/09 00:00	yes	Chromosome(s)	Los Alamos National Laboratory
86	240106	PRJNA240106	Genome sequencing	Genome sequencing of Yersinia pestis Dodson	Sequencing	Yersinia pestis strain:Dodson	Whole	Genome	Monoisolate	Yersinia pestis strain:Dodson Genome sequencing	Primary submission	None	Dodson	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
87	240105	PRJNA240105	Genome sequencing	Genome sequencing of Yersinia pestis Pestoides B	Sequencing	Yersinia pestis str. Pestoides B	Whole	Genome	Monoisolate	Yersinia pestis str. Pestoides B Genome sequencing	Primary submission	None	Pestoides B	Bacteria	748678	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
88	240104	PRJNA240104	Genome sequencing	Genome sequencing of Yersinia pestis PBM19	Sequencing	Yersinia pestis strain:PBM19	Whole	Genome	Monoisolate	Yersinia pestis strain:PBM19 Genome sequencing	Primary submission	None	PBM19	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
89	240103	PRJNA240103	Genome sequencing	Genome sequencing of Yersinia pestis Antiqua	Sequencing	Yersinia pestis Antiqua	Whole	Genome	Monoisolate	Yersinia pestis Antiqua Genome sequencing	Primary submission	None	Antiqua	Bacteria	360102	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
90	240102	PRJNA240102	Genome sequencing	Genome sequencing of Yersinia pestis A1122	Sequencing	Yersinia pestis A1122	Whole	Genome	Monoisolate	Yersinia pestis A1122 Genome sequencing	Primary submission	None	A1122	Bacteria	1035377	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
91	240101	PRJNA240101	Genome sequencing	Genome sequencing of Yersinia pestis Angola	Sequencing	Yersinia pestis Angola	Whole	Genome	Monoisolate	Yersinia pestis Angola Genome sequencing	Primary submission	None	Angola	Bacteria	349746	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
92	240100	PRJNA240100	Genome sequencing	Genome sequencing of Yersinia pestis Harbin35	Sequencing	Yersinia pestis strain:Harbin35	Whole	Genome	Monoisolate	Yersinia pestis strain:Harbin35 Genome sequencing	Primary submission	None	Harbin35	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
93	240085	PRJNA240085	Genome sequencing	Genome sequencing of Yersinia pestis El Dorado	Sequencing	Yersinia pestis strain:El Dorado	Whole	Genome	Monoisolate	Yersinia pestis strain:El Dorado Genome sequencing	Primary submission	None	El Dorado	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
94	240084	PRJNA240084	Genome sequencing	Genome sequencing of Yersinia pestis Nairobi	Sequencing	Yersinia pestis strain:Nairobi	Whole	Genome	Monoisolate	Yersinia pestis strain:Nairobi Genome sequencing	Primary submission	None	Nairobi	Bacteria	632	2015/02/09 00:00	yes	Chromosome(s)	Los Alamos National Laboratory
95	240083	PRJNA240083	Genome sequencing	Genome sequencing of Yersinia pestis KIM	Sequencing	Yersinia pestis strain:KIM5	Whole	Genome	Monoisolate	Yersinia pestis strain:KIM5 Genome sequencing	Primary submission	None	KIM5	Bacteria	632	2015/04/07 00:00	yes	Chromosome(s)	Los Alamos National Laboratory
96	240082	PRJNA240082	Genome sequencing	Genome sequencing of Yersinia pestis Pestoides G	Sequencing	Yersinia pestis Pestoides G	Whole	Genome	Monoisolate	Yersinia pestis Pestoides G Genome sequencing	Primary submission	None	Pestoides G	Bacteria	649716	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
97	239345	PRJNA239345	Genome sequencing	Genome sequencing of Yersinia pestis Pestoides F	Sequencing	Yersinia pestis Pestoides F	Whole	Genome	Monoisolate	Yersinia pestis Pestoides F Genome sequencing	Primary submission	None	Pestoides F	Bacteria	386656	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
98	239341	PRJNA239341	Genome sequencing	Genome sequencing of Yersinia pestis Shasta	Sequencing	Yersinia pestis strain:Shasta	Whole	Genome	Monoisolate	Yersinia pestis Genome sequencing and assembly	Primary submission	None	Shasta	Bacteria	632	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
99	235224	PRJNA235224	Genome sequencing	Genome sequencing of Yersinia pestis CO92	Sequencing	Yersinia pestis CO92	Whole	Genome	Monoisolate	Yersinia pestis CO92 Genome sequencing	Primary submission	None	CO92	Bacteria	214092	2015/02/09 00:00	yes	Complete	Los Alamos National Laboratory
100	234351	PRJNA234351	Genome sequencing and assembly	Whole genome shotgun sequence of vaccine strain Yersinia pestis EV NIIEG.	Sequencing	Yersinia pestis EV NIIEG	Whole	Genome	Monoisolate	Yersinia pestis EV NIIEG Genome sequencing	Primary submission	EV NIIEG	EV NIIEG	Bacteria	1455696	2014/03/12 00:00	yes	Contigs	RusRAPI
101	231474	PRJNA231474	Genome sequencing	Yersinia pestis Justinian historic genome sequencing	Sequencing	Yersinia pestis Justinian	Targeted Locus/Loci	Genome	Monoisolate	Yersinia pestis Justinian historic genome sequencing	Primary submission	None	Justinian	Bacteria	1436003	2013/12/12 00:00	None	SRA/Trace	McMaster University
102	224116	PRJNA224116	RefSeq Other	NCBI has developed an automatic annotation pipeline that combines ab initio gene prediction algorithms with homology based methods. See more details here. Historically RefSeq prokaryotic genomes retained on author submitted annotation. Annotation from different submitters varies in quality resulting in the inconsistent annotation even in closely related genomes. The NCBI Prokaryotic Annotation Pipeline can produce consistent high quality automatic annotation.	Other	None	Whole	Genome	Multispecies	Refseq Prokaryotic Genome Annotation Project	Primary submission	None	None	None	0	2013/10/23 00:00	None	Complete	NCBI
103	208841	PRJNA208841	Genome sequencing and assembly	This is the first report of Y. pestis in a Canadian black tailed prairie dog (Cynomys ludovicianus) population, and the first report of a genetically characterized strain found within Canada.	Sequencing	Yersinia pestis EBD10-058	Whole	Genome	Monoisolate	Yersinia pestis EBD10-058 Genome sequencing	Primary submission	EBD10-058	EBD10-058	Bacteria	1348062	2014/06/12 00:00	yes	Contigs	Public Health Agency of Canada
104	208260	PRJNA208260	Genome sequencing	Finished genome sequence of Yersinia pestis 1045 isolated in the Republic of Azerbaijan.	Sequencing	Yersinia pestis 1045	Whole	Genome	Monoisolate	Yersinia pestis 1045 Genome sequencing	Primary submission	None	1045	Bacteria	1345710	2015/07/30 00:00	yes	Chromosome(s)	Los Alamos National Laboratory
105	208259	PRJNA208259	Genome sequencing and assembly	Finished genome sequence of Yersinia pestis 14735 isolated in the Republic of Armenia	Sequencing	Yersinia pestis 14735	Whole	Genome	Monoisolate	Yersinia pestis 14735 Genome sequencing	Primary submission	None	14735	Bacteria	1345709	2015/07/29 00:00	yes	Scaffolds	Los Alamos National Laboratory
106	208258	PRJNA208258	Genome sequencing	Finished genome sequence of Yersinia pestis 8787 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 8787	Whole	Genome	Monoisolate	Yersinia pestis 8787 Genome sequencing	Primary submission	None	8787	Bacteria	1345708	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
107	208257	PRJNA208257	Genome sequencing	Finished genome sequence of Yersinia pestis 3770 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 3770	Whole	Genome	Monoisolate	Yersinia pestis 3770 Genome sequencing	Primary submission	None	3770	Bacteria	1345707	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
108	208254	PRJNA208254	Genome sequencing	Finished genome sequence of Yersinia pestis 3067 isolated in the Republic of Georgia.	Sequencing	Yersinia pestis 3067	Whole	Genome	Monoisolate	Yersinia pestis 3067 Genome sequencing	Primary submission	None	3067	Bacteria	1345706	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
109	208252	PRJNA208252	Genome sequencing	Finished genome sequence of Yersinia pestis 1522 isolated in the Republic of Armenia	Sequencing	Yersinia pestis 1522	Whole	Genome	Monoisolate	Yersinia pestis 1522 Genome sequencing	Primary submission	None	1522	Bacteria	1345705	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
110	208251	PRJNA208251	Genome sequencing	Finished genome sequence of Yersinia pestis 1413 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 1413	Whole	Genome	Monoisolate	Yersinia pestis 1413 Genome sequencing	Primary submission	None	1413	Bacteria	1345704	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
111	208250	PRJNA208250	Genome sequencing	Finished genome sequence of Yersinia pestis 1412 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 1412	Whole	Genome	Monoisolate	Yersinia pestis 1412 Genome sequencing	Primary submission	None	1412	Bacteria	1345703	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
112	208249	PRJNA208249	Genome sequencing	Finished genome sequence of Yersinia pestis 2944 isolated in Russia	Sequencing	Yersinia pestis 2944	Whole	Genome	Monoisolate	Yersinia pestis 2944 Genome sequencing	Primary submission	None	2944	Bacteria	1345702	2015/07/30 00:00	yes	Complete	Los Alamos National Laboratory
113	208248	PRJNA208248	Genome sequencing	Finished genome sequence of Yersinia pestis 790 isolated in the Kyrgyz Republic	Sequencing	Yersinia pestis 790	Whole	Genome	Monoisolate	Yersinia pestis 790 Genome sequencing	Primary submission	None	790	Bacteria	1345701	2015/07/30 00:00	yes	Chromosome(s)	Los Alamos National Laboratory
114	208247	PRJNA208247	Genome sequencing and assembly	Finished genome sequence of Yersinia pestis 1670 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 1670	Whole	Genome	Monoisolate	Yersinia pestis 1670 Genome sequencing	Primary submission	None	1670	Bacteria	1345700	2015/07/29 00:00	yes	Contigs	Los Alamos National Laboratory
115	208246	PRJNA208246	Genome sequencing	Finished genome sequence of Yersinia pestis 771 isolated in the Republic of Georgia	Sequencing	Yersinia pestis 771	Whole	Genome	Monoisolate	Yersinia pestis 771 Genome sequencing	Primary submission	None	771	Bacteria	1345699	2013/06/12 00:00	yes	SRA/Trace	Los Alamos National Laboratory
116	205233	PRJNA205233	Transcriptome or Gene expression	Identification of small noncoding RNAs in Yersinia pestis.	Sequencing	Yersinia pestis subsp. microtus	Whole	Transcriptome	Monoisolate	Yersinia pestis subsp. microtus Transcriptome or Gene expression	Primary submission	None	None	Bacteria	1234659	2013/05/24 00:00	yes	SRA/Trace	Beijing Institute of Microbiology and Epidemiology
117	203738	PRJEB2029	Other	The term plague designates a human invasive disease caused by Yersinia pestis that is usually fatal in the absence of antimicrobial treatment. Strain IP674 is a Turkish isolate of Y. pestis.	Sequencing	YPIP674	Whole	Other	Monoisolate	The Yersinia pestis strain IP674 genome	Primary submission	None	None	None	0	2010/02/26 00:00	None	SRA/Trace	SC
118	201414	PRJNA201414	Genome sequencing and assembly	Draft genome sequence of Yersinia pestis 24H.  Source of isolation - a rodent, Tatera indica from Hosur (Deccan, India) in 1998.	Sequencing	Yersinia pestis 24H	Whole	Genome	Monoisolate	Yersinia pestis 24H Genome sequencing	Primary submission	None	24H	Bacteria	1330537	2013/10/21 00:00	yes	Scaffolds	National Centre for Cell Science, Pune - 411007, India
119	201413	PRJNA201413	Genome sequencing and assembly	Draft genome sequence of Yersinia pestis S3.   Source of isolation - Human from Shimla (Himachal Pradesh, India) in 2002.	Sequencing	Yersinia pestis S3 strain:S3	Whole	Genome	Monoisolate	Yersinia pestis S3 strain:S3 Genome sequencing	Primary submission	None	S3	Bacteria	1330536	2013/10/21 00:00	yes	Scaffolds	National Centre for Cell Science, Pune - 411007, India
120	201410	PRJNA201410	Genome sequencing and assembly	Draft genome sequence of Yersinia pestis 113.  Source of isolation - a rodent, Rattus rattus from Surat (Gujrat, India) in 1994.	Sequencing	Yersinia pestis 113	Whole	Genome	Monoisolate	Yersinia pestis 113 Genome sequencing	Primary submission	None	113	Bacteria	1330535	2013/10/21 00:00	yes	Scaffolds	National Centre for Cell Science, Pune - 411007, India
121	201408	PRJNA201408	Genome sequencing and assembly	Draft genome sequence of Yersinia pestis 9.  Source of isolation - Human from Surat (Gujrat, India) in 1994.	Sequencing	Yersinia pestis 9 strain:9	Whole	Genome	Monoisolate	Yersinia pestis 9 strain:9 Genome sequencing	Primary submission	None	9	Bacteria	755896	2013/10/21 00:00	yes	Scaffolds	National Centre for Cell Science, Pune - 411007, India
122	194125	PRJNA194125	Genome sequencing	Illumina sequencing of barcoded sample library of Yersinia pestis for the study “Investigating the diversity of Yersinia pestis isolates."	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing	Primary submission	None	None	Bacteria	632	2013/03/25 00:00	None	SRA/Trace	The George Washington University
123	188780	PRJNA188780	Genome sequencing and assembly	This strain is a variant of a rhamnose-fermenting Y. pestis strain that exhibits an increased basal mutation rate due to a point mutation in the mutS gene.	Sequencing	Yersinia pestis G1670A	Whole	Genome	Monoisolate	Yersinia pestis G1670A Genome sequencing	Primary submission	G1670A	G1670A	Bacteria	1291550	2013/04/25 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
124	184590	PRJNA184590	Genome sequencing	Whole-genome sequencing reads of isolates from Mahajanga, Madagascar plague outbreak 1991-1999.	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Mahajanga Yersinia pestis Genome sequencing	Primary submission	None	None	Bacteria	632	2012/12/21 00:00	yes	SRA/Trace	Northern Arizona University Center for Microbial Genetics and Genomics
125	169908	PRJNA169908	Genome sequencing and assembly	The plague is a zoonotic disease caused by the bacterium Yersinia pestis which when untreated can kill up to 60% of infected patients. A strain of Y. pestis was isolated from a recent outbreak of pneumonic plague in Trujillo. 	Sequencing	Yersinia pestis INS	Whole	Genome	Monoisolate	Yersinia pestis INS Genome sequencing and assembly	Primary submission	None	INS	Bacteria	1159617	2012/11/09 00:00	yes	Contigs	Instituto Nacional de Salud
126	167473	PRJNA167473	Genome sequencing and assembly	A new natural plague focus emerged in Junggar Basin region since 2005.We selected strain 2501 that isolated from the main host, Rhombomys opimus, of this region to decipher its genome by the next-generation sequencing technology. The genome sequence of strain 2501 will help to provide information on the evolution and spread process of Y. pestis from other foci to this region, as well as improve the survillence and control the plague epidemic in the local focus.	Sequencing	Yersinia pestis 2501	Whole	Genome	Monoisolate	Yersinia pestis 2501 Genome sequencing and assembly	Primary submission	2501	2501	Bacteria	1194970	2012/07/02 00:00	yes	Scaffolds	BGI
127	73113	PRJNA73113	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. AS200901509	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	AS200901509	Bacteria	1084234	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
128	73111	PRJNA73111	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. AS200901434	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	AS200901434	Bacteria	1084233	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
129	73109	PRJNA73109	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. AS200902147	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	AS200902147	Bacteria	1084232	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
130	73107	PRJNA73107	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. BA200902009	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	BA200902009	Bacteria	1084231	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
131	73105	PRJNA73105	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. BA200901990	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	BA200901990	Bacteria	1084230	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
132	73103	PRJNA73103	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. BA200901703	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	BA200901703	Bacteria	1084229	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
133	73101	PRJNA73101	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. AS200901156	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	AS200901156	Bacteria	1084228	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
134	73099	PRJNA73099	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. AS200901539	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	AS200901539	Bacteria	1084227	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
135	72923	PRJNA72923	Genome sequencing and assembly	This project aims to characterize the genetic diversity of a geographically confined subset of North American Yersinia pestis strains.  	Sequencing	Yersinia pestis biovar Orientalis str. BA200901799	Whole	Genome	Monoisolate	Genomic biosurveillance of 2009 epizootic Yersinia pestis in New Mexico, USA	Primary submission	None	BA200901799	Bacteria	1084226	2012/03/22 00:00	yes	Contigs	US Army Edgewood Chemical Biological Center
136	67155	PRJNA67155	Genome sequencing	Centers for Disease Control and Prevention (CDC)  Yersinia. This genus consists of 11 species, 3 of which are human pathogens. Specific virulence factors are encoded within pathogenicity islands (PAIs) that are required for the invasive phenotype associated with Yersinia infections. These PAIs may be carried on extrachromosomal plasmids or on the chromosome. One key virulence plasmid contained by the three human-specific pathogens is pCD1/pYv, which encodes a type III secretion system for the delivery of virulence proteins that contribute to internalization into the host cell.  Yersinia pestis. This species was originally described by Institut Pasteur scientist Andre Yersin in 1894 in Hong Kong. It is the causative agent of plague (bubonic and pulmonary) a devastating disease which has killed millions worldwide. The organism can be transmitted from rats to humans through the bite of an infected flea or from human-to-human through the air during widespread infection. Yersinia pestis is an extremely pathogenic organism that requires very few numbers in order to cause disease, and is often lethal if left untreated. The organism is enteroinvasive, and can survive and propagate in macrophages prior to spreading systemically throughout the host. Yersinia pestis consists of three biotypes or serovars, Antiqua, Mediavalis, and Orientalis, that are associated with three major pandemics throughout human history. The first occurred during the first millenium, the second occurred from 1300 up to the 19th century (Black Death), and the third started in China during the 19th century and continues to this day. A fourth biovar type has been proposed, Microtus.   Yersinia pestis contains multiple copies of insertion elements, especially IS100, as compared to other Yersinia spp., and 2 species-specific plasmids, pMT1 and pPCP1. pMT1 encodes a protein, murine toxin, that aids rat-to-human transmission by enhancing survival of the organism in the flea midgut. Deep tissue invasion is due to the presence of a plasminogen activator encoded on the pPCP1 plasmid. Yersinia pestis also contains a PAI on the chromosome that is similar to the SPI-2 PAI from Salmonella that allows intracellular survival in the organism.     A1122. Strain A1122 grows on almost all isolates of Yersinia pestis and is used by the Centers for Disease Control and Prevention as a diagnostic agent for the causative agent of plague. The sample used for this project was obtained from the CDC.  	Sequencing	Yersinia pestis A1122	Whole	Genome	Monoisolate	Yersinia pestis A1122 genome sequencing project.	Primary submission	None	A1122	Bacteria	1035377	2011/08/05 00:00	None	Complete	Los Alamos National Lab
137	64397	PRJNA64397	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-113	Whole	Genome	Monoisolate	Yersinia pestis PY-113 Genome sequencing project	Primary submission	None	PY-113	Bacteria	992185	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
138	64395	PRJNA64395	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-103	Whole	Genome	Monoisolate	Yersinia pestis PY-103 Genome sequencing project	Primary submission	None	PY-103	Bacteria	992184	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
139	64393	PRJNA64393	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-102	Whole	Genome	Monoisolate	Yersinia pestis PY-102 Genome sequencing project	Primary submission	None	PY-102	Bacteria	992183	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
140	64391	PRJNA64391	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-101	Whole	Genome	Monoisolate	Yersinia pestis PY-101 Genome sequencing project	Primary submission	None	PY-101	Bacteria	992182	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
141	64389	PRJNA64389	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-100	Whole	Genome	Monoisolate	Yersinia pestis PY-100 Genome sequencing project	Primary submission	None	PY-100	Bacteria	992181	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
142	64387	PRJNA64387	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-99	Whole	Genome	Monoisolate	Yersinia pestis PY-99 Genome sequencing project	Primary submission	None	PY-99	Bacteria	992180	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
143	64385	PRJNA64385	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-98	Whole	Genome	Monoisolate	Yersinia pestis PY-98 Genome sequencing project	Primary submission	None	PY-98	Bacteria	992179	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
144	64383	PRJNA64383	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-96	Whole	Genome	Monoisolate	Yersinia pestis PY-96 Genome sequencing project	Primary submission	None	PY-96	Bacteria	992178	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
145	64381	PRJNA64381	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-95	Whole	Genome	Monoisolate	Yersinia pestis PY-95 Genome sequencing project	Primary submission	None	PY-95	Bacteria	992177	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
146	64379	PRJNA64379	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-94	Whole	Genome	Monoisolate	Yersinia pestis PY-94 Genome sequencing project	Primary submission	None	PY-94	Bacteria	992176	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
147	64377	PRJNA64377	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-93	Whole	Genome	Monoisolate	Yersinia pestis PY-93 Genome sequencing project	Primary submission	None	PY-93	Bacteria	992175	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
148	64375	PRJNA64375	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-92	Whole	Genome	Monoisolate	Yersinia pestis PY-92 Genome sequencing project	Primary submission	None	PY-92	Bacteria	992174	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
149	64373	PRJNA64373	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-91	Whole	Genome	Monoisolate	Yersinia pestis PY-91 Genome sequencing project	Primary submission	None	PY-91	Bacteria	992173	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
150	64371	PRJNA64371	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-90	Whole	Genome	Monoisolate	Yersinia pestis PY-90 Genome sequencing project	Primary submission	None	PY-90	Bacteria	992172	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
151	64369	PRJNA64369	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-89	Whole	Genome	Monoisolate	Yersinia pestis PY-89 Genome sequencing project	Primary submission	None	PY-89	Bacteria	992171	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
152	64367	PRJNA64367	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-88	Whole	Genome	Monoisolate	Yersinia pestis PY-88 Genome sequencing project	Primary submission	None	PY-88	Bacteria	992170	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
153	64365	PRJNA64365	Genome sequencing and assembly	None	Sequencing	Yersinia pestis PY-76	Whole	Genome	Monoisolate	Yersinia pestis PY-76 Genome sequencing project	Primary submission	None	PY-76	Bacteria	992169	2012/06/15 00:00	None	Contigs	Institute for Genome Sciences
