id	BioSample_id	Accession	BioProject	SRAAccession	BioSampleTitle	SampleName	SampleType	Package	Infraspecies	Organism	OrganismAlt	SubSpecies	Strain	TaxonomyID	Biovar	CollectionDate	GeographicLocation	Host	HostDisease	IsolateNameAlias	IsolationSource	Lat	LatLon	Lon	Date	ModificationDate	PublicationDate	Organization
162	5162893	SAMN05162893	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	1906	None	Pathogen.env.1.0	strain: 1906	Yersinia pestis	Yersinia pestis	None	1906	632	None	2014-04-12	Russia: Republic of Kalmykiya, Laganskiy district	Meriones meridianus	None	None	Missing	None	44.936386 N 46.93005700000003 E	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
163	5162891	SAMN05162891	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1836	None	Pathogen.env.1.0	strain: A-1836	Yersinia pestis	Yersinia pestis	None	A-1836	632	None	1983-03-20	Kyrgyzstan: Issyk-Kulskaya region	Marmota baibacina	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
164	5162583	SAMN05162583	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	M-1944	None	Pathogen.env.1.0	strain: M-1944	Yersinia pestis	Yersinia pestis	None	M-1944	632	None	2012-08-21	Russia: Republic of Tyva, Mongun-Tayginskiy district	Marmota sibirica	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
165	5162581	SAMN05162581	None	None	Pathogen: clinical or host-associated sample from Yersinia pestis	835	None	Pathogen.cl.1.0	strain: 835	Yersinia pestis	Yersinia pestis	None	835	632	None	1958-11-23	Armenia: Lariyskaya region	Homo sapiens	Bubonic plague	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
166	5162580	SAMN05162580	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	1530	None	Pathogen.env.1.0	strain: 1530	Yersinia pestis	Yersinia pestis	None	1530	632	None	2014-09-18	Russia: Republic of Altai, Kosh-Agach District	None	None	None	Missing	None	49.995021 N 88.54540999999995 E	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
167	5162559	SAMN05162559	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	595	None	Pathogen.env.1.0	strain: 595	Yersinia pestis	Yersinia pestis	None	595	632	None	2014-03-20	Russia: Astrakhan Region, Limanskiy District	Mus musculus	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
168	5150105	SAMN05150105	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	1313	None	Pathogen.env.1.0	strain: 1313	Yersinia pestis	Yersinia pestis	None	1313	632	None	2014-09-20	Russia: Republic of Altai	Paradoxopsyllus scorodumovi	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
169	5150068	SAMN05150068	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	I-2998	None	Pathogen.env.1.0	strain: I-2998	Yersinia pestis	Yersinia pestis	None	I-2998	632	None	1982-08-27	Russia: Republic of Altai, Kosh-Agach District	Ochotona pallasi	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
170	5150065	SAMN05150065	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1691	None	Pathogen.env.1.0	strain: A-1691	Yersinia pestis	Yersinia pestis	None	A-1691	632	None	1971-07-20	Kyrgyzstan	None	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
171	5149973	SAMN05149973	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1486	None	Pathogen.env.1.0	strain: A-1486	Yersinia pestis	Yersinia pestis	None	A-1486	632	None	1966-11-25	Kyrgyzstan: Oshskaya Region, Alayskiy District	Marmota caudata	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
172	5149970	SAMN05149970	None	None	Pathogen: clinical or host-associated sample from Yersinia pestis	M-986	None	Pathogen.cl.1.0	strain: M-986	Yersinia pestis	Yersinia pestis	None	M-986	632	None	1975-07-15	Armenia: Syunikskaya Region	Homo sapiens	Bubonic plague	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
173	5149969	SAMN05149969	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1249	None	Pathogen.env.1.0	strain: A-1249	Yersinia pestis	Yersinia pestis	None	A-1249	632	None	1970-04-18	Tajikistan: Sogdiyskaya Region	Neodon juldaschi carruthersi	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
174	5017795	SAMN05017795	None	None	Pathogen: clinical or host-associated sample from Yersinia pestis	517	None	Pathogen.cl.1.0	strain: 517	Yersinia pestis	Yersinia pestis	None	517	632	None	2014-09-21	Russia: Republic of Altai, Mukhor-Tarkhata village	Homo sapiens	Bubonic plague	None	Missing	None	49.989414 N 88.53896800000007 E	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
175	5017696	SAMN05017696	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1809	None	Pathogen.env.1.0	strain: A-1809	Yersinia pestis	Yersinia pestis	None	A-1809	632	None	1980-08-28	Kyrgyzstan: Range of Tien Shan Mountain System, Karagaily Area	None	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
176	5017693	SAMN05017693	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	M-1524	None	Pathogen.env.1.0	strain: M-1524	Yersinia pestis	Yersinia pestis	None	M-1524	632	None	1993-05-09	Kazakhstan: Chimkent Region, Suzak District, Zhuantobe Townsite	None	None	None	Missing	None	44.904700 N 68.635977 E	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
177	5017652	SAMN05017652	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1920	None	Pathogen.env.1.0	strain: A-1920	Yersinia pestis	Yersinia pestis	None	A-1920	632	None	1988-07-08	Kazakhstan: Almaty Region, Balkhash District, Bakanas Townsite	None	None	None	Missing	None	45.668325 N 77.29933600000004 E	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
178	5017638	SAMN05017638	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	M-1448	None	Pathogen.env.1.0	strain: M-1448	Yersinia pestis	Yersinia pestis	None	M-1448	632	None	1990-06-28	Russia	None	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
179	5017610	SAMN05017610	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	A-1825	None	Pathogen.env.1.0	strain: A-1825	Yersinia pestis	Yersinia pestis	None	A-1825	632	None	1983-03-16	Uzbekistan	None	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
180	5017606	SAMN05017606	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	2751-55	None	Pathogen.env.1.0	strain: 2751-55	Yersinia pestis	Yersinia pestis	None	2751-55	632	None	2012-09-23	Russia: Republic of Altai, Kosh-Agach District, Tashanta Village	None	None	None	Missing	None	Missing	None	2016/09/01	2016/09/01	2016/09/01	Russian Research Anti-Plague Institute Microbe
181	5712322	SAMN05712322	PRJNA340278	SRS1650455	Spleen from prarie dog number 23	Yp2040	None	Pathogen.cl.1.0	isolate: Yp2040	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
182	5712321	SAMN05712321	PRJNA340278	SRS1650451	Spleen from prarie dog number 22	Yp2017	None	Pathogen.cl.1.0	isolate: Yp2017	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
183	5712320	SAMN05712320	PRJNA340278	SRS1650450	Spleen from prarie dog number 21	Yp2007	None	Pathogen.cl.1.0	isolate: Yp2007	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
184	5712319	SAMN05712319	PRJNA340278	SRS1650449	Spleen from prarie dog number 20	Yp2020	None	Pathogen.cl.1.0	isolate: Yp2020	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
185	5712318	SAMN05712318	PRJNA340278	SRS1650446	Spleen from prarie dog number 19	Yp2045	None	Pathogen.cl.1.0	isolate: Yp2045	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
186	5712317	SAMN05712317	PRJNA340278	SRS1650448	Spleen from prarie dog number 18	Yp2005	None	Pathogen.cl.1.0	isolate: Yp2005	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
187	5712316	SAMN05712316	PRJNA340278	SRS1650445	Spleen from prarie dog number 17	Yp2009	None	Pathogen.cl.1.0	isolate: Yp2009	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
188	5712315	SAMN05712315	PRJNA340278	SRS1650444	Spleen from prarie dog number 16	Yp2035	None	Pathogen.cl.1.0	isolate: Yp2035	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
189	5712314	SAMN05712314	PRJNA340278	SRS1650442	Spleen from prarie dog number 15	Yp2015	None	Pathogen.cl.1.0	isolate: Yp2015	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
190	5712313	SAMN05712313	PRJNA340278	SRS1650443	Spleen from prarie dog number 14	Yp2037	None	Pathogen.cl.1.0	isolate: Yp2037	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
191	5712312	SAMN05712312	PRJNA340278	SRS1650440	Spleen from prarie dog number 13	Yp2034	None	Pathogen.cl.1.0	isolate: Yp2034	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
192	5712311	SAMN05712311	PRJNA340278	SRS1650441	Spleen from prarie dog number 12	Yp2025	None	Pathogen.cl.1.0	isolate: Yp2025	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
193	5712310	SAMN05712310	PRJNA340278	SRS1650439	Spleen from prarie dog number 11	Yp2049	None	Pathogen.cl.1.0	isolate: Yp2049	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
194	5712309	SAMN05712309	PRJNA340278	SRS1650438	Spleen from prarie dog number 10	Yp2031	None	Pathogen.cl.1.0	isolate: Yp2031	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
195	5712308	SAMN05712308	PRJNA340278	SRS1650459	Spleen from prarie dog number 9	Yp2043	None	Pathogen.cl.1.0	isolate: Yp2043	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
196	5712307	SAMN05712307	PRJNA340278	SRS1650460	Spleen from prarie dog number 8	Yp2023	None	Pathogen.cl.1.0	isolate: Yp2023	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
197	5712306	SAMN05712306	PRJNA340278	SRS1650457	Spleen from prarie dog number 7	Yp2019	None	Pathogen.cl.1.0	isolate: Yp2019	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
198	5712305	SAMN05712305	PRJNA340278	SRS1650456	Spleen from prarie dog number 6	Yp2030	None	Pathogen.cl.1.0	isolate: Yp2030	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
199	5712304	SAMN05712304	PRJNA340278	SRS1650453	Spleen from prarie dog number 5	Yp2047	None	Pathogen.cl.1.0	isolate: Yp2047	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
200	5712303	SAMN05712303	PRJNA340278	SRS1650454	Spleen from prarie dog number 4	Yp2022	None	Pathogen.cl.1.0	isolate: Yp2022	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
201	5712302	SAMN05712302	PRJNA340278	SRS1650452	Spleen from prarie dog number 3	Yp2011	None	Pathogen.cl.1.0	isolate: Yp2011	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
202	5712301	SAMN05712301	PRJNA340278	SRS1650447	Spleen from prarie dog number 2	Yp2039	None	Pathogen.cl.1.0	isolate: Yp2039	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
203	5712300	SAMN05712300	PRJNA340278	SRS1650437	Spleen from prarie dog number 1	Yp2013	None	Pathogen.cl.1.0	isolate: Yp2013	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	not applicable	Cynomys	plague	None	spleen	None	not applicable	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
204	5712299	SAMN05712299	PRJNA340278	SRS1650436	Colorado 92 parent strain	Yp1980	None	Pathogen.cl.1.0	isolate: Yp1980	Yersinia pestis	Yersinia pestis	None	None	632	None	1992	USA: Colorado	Homo sapiens	plague	None	unknown	None	39.33 N 105.46 W	None	2016/08/26	2016/08/29	2016/08/26	Northern Arizona University
205	5282282	SAMN05282282	None	None	Pathogen: clinical or host-associated sample from Yersinia pestis YERS112	YERS112	None	Pathogen.cl.1.0	strain: Cadman	Yersinia pestis	Yersinia pestis	None	Cadman	632	None	06-Jun-2016	USA: Gallup, NM	Homo sapiens	Plague	None	unknown	None	missing	None	2016/07/25	2016/07/25	2016/07/25	USAMRIID
206	5215672	SAMEA3937656	None	ERS1124790	Ellwangen549_O_m	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	None	632	None	None	None	None	None	None	None	None	None	None	2016/06/11	2016/06/15	2016/06/11	EBI
207	5215671	SAMEA3937655	None	ERS1124789	Ellwangen549_O_c	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	None	632	None	None	None	None	None	None	None	None	None	None	2016/06/11	2016/06/15	2016/06/11	EBI
208	5215670	SAMEA3937654	None	ERS1124788	BolgarCity2370	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	None	632	None	None	None	None	None	None	None	None	None	None	2016/06/11	2016/06/15	2016/06/11	EBI
209	5215669	SAMEA3937653	None	ERS1124787	Barcelona3031	None	None	Generic.1.0	None	Yersinia pestis	Yersinia pestis	None	None	632	None	None	None	None	None	None	None	None	None	None	2016/06/11	2016/06/15	2016/06/11	EBI
210	5017702	SAMN05017702	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	M-1773	None	Pathogen.env.1.0	strain: M-1773	Yersinia pestis	Yersinia pestis	None	M-1773	632	None	2002-05-17	Russia: Astrakhan Region, Krasnoyarsk District	None	None	None	Missing	None	46.585543 N 48.44837899999993 E	None	2016/05/19	2016/05/19	2016/05/19	Russian Research Anti-Plague Institute Microbe
211	4032844	SAMN04032844	None	SRS1063801	Microbe sample from Yersinia pestis CO92	EHC	Microbial isolate	Microbe.1.0	strain: CO92	Yersinia pestis CO92	Yersinia pestis CO92	None	CO92	214092	None	1992	USA: Colorado	None	None	None	Human Clinical Sample (fatal pneumonic plague)	None	None	None	2016/04/09	2016/04/09	2016/04/09	Los Alamos National Laboratory
212	3256395	SAMN03256395	PRJNA240084	SRS1338873	Microbe sample Yersinia pestis Nairobi	YAP	Microbial isolate culture	Microbe.1.0	strain: Nairobi	Yersinia pestis	Yersinia pestis	None	Nairobi	632	None	1985	Kenya: Nairobi	None	None	None	Wild rat	None	None	None	2015/02/11	2016/03/15	2015/02/11	Los Alamos National Laboratory
213	3202985	SAMN03202985	PRJNA240082	SRS1338960	Microbe sample Yersinia pestis Pestoides G	YAN	Microbial Isolate Culture	Microbe.1.0	strain: Pestoides G	Yersinia pestis	Yersinia pestis Pestoides G	None	Pestoides G	649716	None	Unknown	USSR	None	None	None	Unknown	None	None	None	2015/02/11	2016/03/15	2015/02/11	Los Alamos National Laboratory
214	3418619	SAMN03418619	PRJNA257008	SRS880800	Yersinia pestis Str. NR-20	YPES002	None	Pathogen.cl.1.0	strain: 125 B plague Bombay	Yersinia pestis	Yersinia pestis	None	125 B plague Bombay	632	None	Missing	India: Mumbai	None	Plague	None	Missing	None	Missing	None	2015/03/16	2016/03/07	2015/03/16	MRIGlobal
215	2999506	SAMN02999506	PRJNA257008	SRS880754	Yersinia pestis Str. ZE94-2122	YPES001	None	Pathogen.cl.1.0	strain: ZE94-2122	Yersinia pestis subsp. pestis bv. Orientalis	Yersinia pestis subsp. pestis bv. Orientalis	None	ZE94-2122	1234661	Orientalis	1994	Zimbabwe	None	Plague	None	Missing	None	Missing	None	2014/08/20	2016/03/07	2014/08/20	MRIGlobal
216	4331740	SAMN04331740	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	KM918	None	Pathogen.env.1.0	strain: KM918	Yersinia pestis	Yersinia pestis	None	KM918	632	None	1989	Russia: Kabardino-Balkaria, Gizhgit Natural Boundary	Ctenophthalmus orientalis	None	None	None	None	43.47001 N 42.992790000000014 E	None	2015/12/11	2016/02/11	2015/12/11	Russian Research Anti-Plague Institute Microbe
217	4012736	SAMN04012736	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	Yp2126	None	Pathogen.env.1.0	strain: Yp2126	Yersinia pestis	Yersinia pestis	None	Yp2126	632	None	2011	USA: Arizona	None	None	None	Flea captured from prairie dog burrow showing signs of recent die-off	None	Unknown	None	2016/01/13	2016/01/13	2016/01/13	Pacific Northwest National Laboratory
218	4012733	SAMN04012733	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	Yp1945	None	Pathogen.env.1.0	strain: Yp1945	Yersinia pestis	Yersinia pestis	None	Yp1945	632	None	2009	USA: Texas	None	None	None	flea captured from prairie dog burrow showing signs of recent die-off	None	Unknown	None	2016/01/13	2016/01/13	2016/01/13	Pacific Northwest National Laboratory
219	4011831	SAMN04011831	None	SRS1045217	Microbe sample from Yersinia pestis	Yp2126_P60L12	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 12	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
220	4011830	SAMN04011830	None	SRS1045211	Microbe sample from Yersinia pestis	Yp2126_P60L11	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 11	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
221	4011829	SAMN04011829	None	SRS1045212	Microbe sample from Yersinia pestis	Yp2126_P60L10	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 10	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
222	4011828	SAMN04011828	None	SRS1045214	Microbe sample from Yersinia pestis	Yp2126_P60L09	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 9	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
223	4011827	SAMN04011827	None	SRS1045208	Microbe sample from Yersinia pestis	Yp2126_P60L08	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 8	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
224	4011826	SAMN04011826	None	SRS1045209	Microbe sample from Yersinia pestis	Yp2126_P60L07	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 7	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
225	4011825	SAMN04011825	None	SRS1045210	Microbe sample from Yersinia pestis	Yp2126_P60L06	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 6	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
226	4011824	SAMN04011824	None	SRS1045203	Microbe sample from Yersinia pestis	Yp2126_P60L05	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 5	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
227	4011823	SAMN04011823	None	SRS1045205	Microbe sample from Yersinia pestis	Yp2126_P60L04	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 4	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
228	4011822	SAMN04011822	None	SRS1045206	Microbe sample from Yersinia pestis	Yp2126_P60L03	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 3	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
229	4011821	SAMN04011821	None	SRS1045207	Microbe sample from Yersinia pestis	Yp2126_P60L02	Culture	Microbe.1.0	isolate: Yp2126 Passage 60 Lineage 2	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
230	4011820	SAMN04011820	None	SRS1045200	Microbe sample from Yersinia pestis	Yp1945_P60L12	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 12	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
231	4011819	SAMN04011819	None	SRS1045201	Microbe sample from Yersinia pestis	Yp1945_P60L11	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 11	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
232	4011818	SAMN04011818	None	SRS1045221	Microbe sample from Yersinia pestis	Yp1945_P60L10	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 10	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
233	4011817	SAMN04011817	None	SRS1045222	Microbe sample from Yersinia pestis	Yp1945_P60L09	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 9	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
234	4011816	SAMN04011816	None	SRS1045218	Microbe sample from Yersinia pestis	Yp1945_P60L08	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 8	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
235	4011815	SAMN04011815	None	SRS1045219	Microbe sample from Yersinia pestis	Yp1945_P60L07	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 7	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
236	4011814	SAMN04011814	None	SRS1045220	Microbe sample from Yersinia pestis	Yp1945_P60L06	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 6	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
237	4011813	SAMN04011813	None	SRS1045215	Microbe sample from Yersinia pestis	Yp1945_P60L05	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 5	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
238	4011812	SAMN04011812	None	SRS1045216	Microbe sample from Yersinia pestis	Yp1945_P60L04	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 4	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
239	4011811	SAMN04011811	None	SRS1045213	Microbe sample from Yersinia pestis	Yp1945_P60L03	Culture	Microbe.1.0	isolate: Yp1945 Passage 60 Lineage 3	Yersinia pestis	Yersinia pestis	None	None	632	None	not applicable	USA: Arizona	not applicable	None	None	not applicable	None	None	None	2016/01/09	2016/01/09	2016/01/09	Pacific Northwest National Laboratory
